USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
tomcat7     7068  168 10.0 11749660 3275424 ?    Sl   11:18   1:27 /usr/lib/jvm/java-8-openjdk-amd64/bin/java -Djava.util.logging.config.file=/var/lib/tomcat7/conf/logging.properties -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Djava.awt.headless=true -Xms4g -Xmx6g -XX:+UseG1GC -Djava.awt.headless=true -Djava.endorsed.dirs=/usr/share/tomcat7/endorsed -classpath /usr/share/tomcat7/bin/bootstrap.jar:/usr/share/tomcat7/bin/tomcat-juli.jar -Dcatalina.base=/var/lib/tomcat7 -Dcatalina.home=/usr/share/tomcat7 -Djava.io.tmpdir=/tmp/tomcat7-tomcat7-tmp org.apache.catalina.startup.Bootstrap start
dataman+    6470  5.3  1.0 3243136 327428 ?      Sl   11:17   0:04 /usr/lib/firefox/firefox -new-window
dataman+    6409  5.1  0.2 1466276 79720 ?       Sl   11:17   0:05 /opt/teamviewer/tv_bin/TeamViewer_Desktop
dataman+    2236  2.6  0.9 6502240 318020 ?      Ssl  11:11   0:11 /usr/bin/gnome-shell
dataman+    2910  1.6  2.4 3399668 791372 ?      Sl   11:11   0:06 /usr/lib/virtualbox/VirtualBoxVM --comment server8.4 --startvm {fdf7ea93-d888-48cd-a05a-69514922d50f}
dataman+    1291  1.3  0.3 1883604 106844 tty2   Sl+  11:11   0:06 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1002/gdm/Xauthority -background none -noreset -keeptty -verbose 3
mysql       1801  1.0  5.7 19722244 1870960 ?    Sl   11:11   0:05 /usr/local/mysql/bin/mysqld --basedir=/usr/local/mysql --datadir=/usr/local/mysql/data --plugin-dir=/usr/local/mysql/lib/plugin --user=mysql --log-error=hep-svr.err --pid-file=/usr/local/mysql/data/hep-svr.pid
root        4956  0.8  0.3 398300 126328 ?       Sl   11:13   0:02 /usr/local/bin/node /app/lib/server.js
root        1370  0.7  0.3 2851320 117880 ?      Ssl  11:11   0:03 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1809  0.7  0.1 1887748 44176 ?       Sl   11:11   0:03 /opt/teamviewer/tv_bin/teamviewerd -d
root        4575  0.7  0.3 393208 117152 ?       Ssl  11:12   0:02 Core
dataman+    6628  0.6  0.4 2505116 143568 ?      Sl   11:17   0:00 /usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 36750 -prefMapHandle 1 -prefMapSize 265186 -jsInitHandle 2 -jsInitLen 247456 -parentBuildID 20250227124745 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {2339d462-f4da-4822-8d9b-03d877535b79} -parentPid 6470 -crashReporter 6 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 2 tab
dataman+    7160  0.6  0.1 814572 50588 ?        Ssl  11:18   0:00 /usr/libexec/gnome-terminal-server
systemd+    3924  0.5  0.3 1809944 117880 ?      Ssl  11:12   0:02 mongod --replSet mongo-set --wiredTigerCacheSizeGB 0.5 --bind_ip_all
dataman+    2145  0.4  0.5 5724124 179860 ?      Sl   11:11   0:02 /opt/teamviewer/tv_bin/TeamViewer
dataman+    4858  0.3  0.2 644400 97992 ?        Sl   11:12   0:01 /usr/bin/python3 /usr/share/apport/apport-gtk
dataman+    6679  0.3  0.3 2485640 111364 ?      Sl   11:17   0:00 /usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 44697 -prefMapHandle 1 -prefMapSize 265186 -jsInitHandle 2 -jsInitLen 247456 -parentBuildID 20250227124745 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {48fd5b13-2d57-434b-905c-0971f830b00d} -parentPid 6470 -crashReporter 6 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 4 tab
dataman+    6764  0.3  0.3 2480808 120944 ?      Sl   11:17   0:00 /usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 38733 -prefMapHandle 1 -prefMapSize 265186 -jsInitHandle 2 -jsInitLen 247456 -parentBuildID 20250227124745 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {72a88f7b-5e23-4530-8b96-0ae3d9662102} -parentPid 6470 -crashReporter 6 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 6 tab
root           1  0.2  0.0 168580 11816 ?        Ss   11:10   0:01 /sbin/init splash
message+     790  0.2  0.0   9736  5972 ?        Ss   11:11   0:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         274  0.1  0.0      0     0 ?        I    11:10   0:00 [kworker/u24:5-ext4-rsv-conversion]
root         275  0.1  0.0      0     0 ?        I    11:10   0:00 [kworker/u24:6-ext4-rsv-conversion]
root         397  0.1  0.0  25580  8108 ?        Ss   11:10   0:00 /lib/systemd/systemd-udevd
root         791  0.1  0.0 262492 19896 ?        Ssl  11:11   0:00 /usr/sbin/NetworkManager --no-daemon
root        1012  0.1  0.0 177340 17156 ?        Ssl  11:11   0:00 /usr/sbin/cups-browsed
dataman+    1249  0.1  0.0  21080 11292 ?        Ss   11:11   0:00 /lib/systemd/systemd --user
dataman+    1280  0.1  0.0 2380528 16264 ?       S<sl 11:11   0:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
dataman+    2668  0.1  0.0 275700 31408 ?        Sl   11:11   0:00 /usr/libexec/ibus-extension-gtk3
dataman+    6607  0.1  0.0 493800 28900 ?        Ssl  11:17   0:00 /usr/libexec/xdg-desktop-portal-gtk
dataman+    6802  0.1  0.2 2437308 85656 ?       Sl   11:17   0:00 /usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0 -prefsLen 38733 -prefMapHandle 1 -prefMapSize 265186 -jsInitHandle 2 -jsInitLen 247456 -parentBuildID 20250227124745 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {e0c25a38-44d7-498b-9122-770d22a1cc36} -parentPid 6470 -crashReporter 6 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appDir /usr/lib/firefox/browser 8 tab
root           2  0.0  0.0      0     0 ?        S    11:10   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   11:10   0:00 [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   11:10   0:00 [rcu_par_gp]
root           5  0.0  0.0      0     0 ?        I<   11:10   0:00 [slub_flushwq]
root           6  0.0  0.0      0     0 ?        I<   11:10   0:00 [netns]
root           7  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/0:0-events]
root           8  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/0:0H-events_highpri]
root          10  0.0  0.0      0     0 ?        I<   11:10   0:00 [mm_percpu_wq]
root          11  0.0  0.0      0     0 ?        S    11:10   0:00 [rcu_tasks_rude_]
root          12  0.0  0.0      0     0 ?        S    11:10   0:00 [rcu_tasks_trace]
root          13  0.0  0.0      0     0 ?        S    11:10   0:00 [ksoftirqd/0]
root          14  0.0  0.0      0     0 ?        I    11:10   0:00 [rcu_sched]
root          15  0.0  0.0      0     0 ?        S    11:10   0:00 [migration/0]
root          16  0.0  0.0      0     0 ?        S    11:10   0:00 [idle_inject/0]
root          17  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/0:1-events]
root          18  0.0  0.0      0     0 ?        S    11:10   0:00 [cpuhp/0]
root          19  0.0  0.0      0     0 ?        S    11:10   0:00 [cpuhp/1]
root          20  0.0  0.0      0     0 ?        S    11:10   0:00 [idle_inject/1]
root          21  0.0  0.0      0     0 ?        S    11:10   0:00 [migration/1]
root          22  0.0  0.0      0     0 ?        S    11:10   0:00 [ksoftirqd/1]
root          24  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/1:0H-events_highpri]
root          25  0.0  0.0      0     0 ?        S    11:10   0:00 [cpuhp/2]
root          26  0.0  0.0      0     0 ?        S    11:10   0:00 [idle_inject/2]
root          27  0.0  0.0      0     0 ?        S    11:10   0:00 [migration/2]
root          28  0.0  0.0      0     0 ?        S    11:10   0:00 [ksoftirqd/2]
root          30  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/2:0H-kblockd]
root          31  0.0  0.0      0     0 ?        S    11:10   0:00 [cpuhp/3]
root          32  0.0  0.0      0     0 ?        S    11:10   0:00 [idle_inject/3]
root          33  0.0  0.0      0     0 ?        S    11:10   0:00 [migration/3]
root          34  0.0  0.0      0     0 ?        S    11:10   0:00 [ksoftirqd/3]
root          36  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/3:0H-kblockd]
root          37  0.0  0.0      0     0 ?        S    11:10   0:00 [cpuhp/4]
root          38  0.0  0.0      0     0 ?        S    11:10   0:00 [idle_inject/4]
root          39  0.0  0.0      0     0 ?        S    11:10   0:00 [migration/4]
root          40  0.0  0.0      0     0 ?        S    11:10   0:00 [ksoftirqd/4]
root          42  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/4:0H-events_highpri]
root          43  0.0  0.0      0     0 ?        S    11:10   0:00 [cpuhp/5]
root          44  0.0  0.0      0     0 ?        S    11:10   0:00 [idle_inject/5]
root          45  0.0  0.0      0     0 ?        S    11:10   0:00 [migration/5]
root          46  0.0  0.0      0     0 ?        S    11:10   0:00 [ksoftirqd/5]
